,name,address,borough,source,validated_address
50,Aamir Halal Food Cart,"85 West 46th Street, New York, NY",Manhattan,Zabiha,"85 W 46th St, New York, NY 10036, USA"
51,Ravagh Persian Grill,"1135 1st Avenue, New York, NY",Manhattan,Zabiha,"1135 1st Avenue, New York, NY 10065, USA"
52,Baba Ghanouge,"165 Church Street, New York, NY",Manhattan,Zabiha,"165 Church St, New York, NY 10007, USA"
53,Masala Times,"194 Bleecker Street, New York, NY",Manhattan,Zabiha,"194 Bleecker St, New York, NY 10012, USA"
54,Istanbul Kebab House,"712 9th Avenue, New York, NY",Manhattan,Zabiha,"712 9th Ave, New York, NY 10019, USA"
55,48th & 6th Halal Cart,"6th Avenue & West 48th Street, New York, NY",Manhattan,Zabiha,"6th Ave, New York, NY, USA"
56,Agora,"1565 2nd Avenue, New York, NY",Manhattan,Zabiha,"1565 2nd Ave, New York, NY 10028, USA"
57,Joy Curry & Tandoor,"32 West 39th Street, New York, NY",Manhattan,Zabiha,"32 W 39th St, New York, NY 10018, USA"
58,Shendey's Halal Cart,"52th Street at 6th Avenue, New York, NY",Manhattan,Zabiha,"6th Ave & W 52nd St, New York, NY 10019, USA"
59,Kennedy Fried Chicken,"536 East 14th Street, New York, NY",Manhattan,Zabiha,"536 E 14th St, New York, NY 10009, USA"
60,Platter,"52nd Street & 6th Avenue, New York, NY",Manhattan,Zabiha,"1002 S 52nd St, Rogers, AR 72758, USA"
61,Prince of Egypt Cart,"47th Street at 6th Avenue, New York, NY",Manhattan,Zabiha,"6th Ave & W 47th St, New York, NY 10036, USA"
62,Sip Sak,"928 2nd Avenue, New York, NY",Manhattan,Zabiha,"928 2nd Ave, New York, NY 10022, USA"
63,Gyro Stand,"46th Street and 3rd Avenue, New York, NY",Manhattan,Zabiha,"E 46th St & 3rd Ave, New York, NY 10017, USA"
64,Swagat,"205 West 29th Street, New York, NY",Manhattan,Zabiha,"205 W 29th St, New York, NY 10001, USA"
65,Tandoor Palace,"88 Fulton Street, New York, NY",Manhattan,Zabiha,"88 Fulton St, New York, NY 10038, USA"
66,Kennedy Fried Chicken,"158 Nagle Avenue, New York, NY",Manhattan,Zabiha,"158 Nagle Ave, New York, NY 10040, USA"
67,Tagine,"221 West 38th Street, New York, NY",Manhattan,Zabiha,"221 W 38th St, New York, NY 10018, USA"
68,Haveli,"100 Second Avenue, New York, NY",Manhattan,Zabiha,"100 2nd Ave, New York, NY 10003, USA"
69,Djerdan Burak,"22-83 East 65th Street, New York, NY",Manhattan,Zabiha,"22 E 65th St, New York, NY 10065, USA"
70,Express Power Lunch Halal Food Cart,"3rd Avenue & E 48th Street, New York, NY",Manhattan,Zabiha,"3rd Ave, The Bronx, NY, USA"
71,Xpress Energy Halal Food Cart,"Whitehall Street & Stone Street, New York, NY",Manhattan,Zabiha,"Whitehall St, New York, NY 10004, USA"
72,Big Boss Halal Chicken and Rice,"York Avenue & East 69th Street, New York, NY",Manhattan,Zabiha,"York Ave, New York, NY, USA"
73,Hooda's Halal Food,"West 115th St & Broadway, New York, NY",Manhattan,Zabiha,"W 115th St, New York, NY, USA"
74,Little Gujrat Deli,"946 Columbus Avenue, New York, NY",Manhattan,Zabiha,"946 Columbus Ave, New York, NY 10025, USA"
75,Halal Food Cart,"Avenue of the Americas & West 47th Street, New York, NY",Manhattan,Zabiha,"6th Ave, New York, NY, USA"
76,Halal Food Cart,"5th Avenue & East 34th Street, New York, NY",Manhattan,Zabiha,"5th Ave, New York, NY, USA"
77,Uskudar,"1405 2nd Avenue, New York, NY",Manhattan,Zabiha,"1405 2nd Ave, New York, NY 10021, USA"
78,Mouez Halal Food Cart,"East 33rd Street & 1st Avenue, New York, NY",Manhattan,Zabiha,"E 33rd St, New York, NY 10016, USA"
79,A La Turka,"1417 2nd Avenue, New York, NY",Manhattan,Zabiha,"1417 2nd Ave, New York, NY 10021, USA"
80,Fahima Halal Food Cart,"6th Avenue & West 45th Street, New York, NY",Manhattan,Zabiha,"6th Ave, New York, NY, USA"
81,Le Baobab,"120 West 116th Street, New York, NY",Manhattan,Zabiha,"120 W 116th St, New York, NY 10026, USA"
82,Gourmet Palace,"13 West 29th Street, New York, NY",Manhattan,Zabiha,"13 W 29th St, New York, NY 10001, USA"
83,Penn Station Halal Cart,"West 33rd Street & 7th Avenue, New York, NY",Manhattan,Zabiha,"33rd Street, New York, NY 10001, USA"
84,Kebab & Curry In A Hurry,"2409 2nd Avenue, New York, NY",Manhattan,Zabiha,"2409 2nd Ave, New York, NY 10035, USA"
85,Casablanca Grill,"1132 1st Avenue, New York, NY",Manhattan,Zabiha,"1132 1st Avenue, New York, NY 10065, USA"
86,The Halal Guys,"East 14th Street & 2nd Avenue, New York, NY",Manhattan,Zabiha,"E 14th St, New York, NY, USA"
87,Chote Nawab,"115 Lexington Avenue, New York, NY",Manhattan,Zabiha,"115 Lexington Ave, New York, NY 10016, USA"
88,Dhaba,"108 Lexington Avenue, New York, NY",Manhattan,Zabiha,"108 Lexington Ave, New York, NY 10016, USA"
89,Kharian Deli,"184 7th Avenue, New York, NY",Manhattan,Zabiha,"184 7th Ave, New York, NY 10011, USA"
90,Indian Fast Food,"123 MacDougal Street, New York, NY",Manhattan,Zabiha,"123 MacDougal St, New York, NY 10012, USA"
91,Casa La Femme,"140 Charles Street, New York, NY",Manhattan,Zabiha,"140 Charles St, New York, NY 10014, USA"
92,Chola,"232 East 58th Street, New York, NY",Manhattan,Zabiha,"232 E 58th St, New York, NY 10022, USA"
93,Ilili,"236 5th Avenue, New York, NY",Manhattan,Zabiha,"236 5th Ave, New York, NY 10001, USA"
