,name,address,borough,source,validated_address
216,Adel's Halal Food,"6th Avenue & West 50th Street, New York, NY",Manhattan,Zabiha,"6th Ave, New York, NY, USA"
217,Halal Food Cart,"Broadway & West 37th Street, New York, NY",Manhattan,Zabiha,"303 S Broadway, Wichita, KS 67202, USA"
218,Bombay Deli,"367 West 36th Street, New York, NY",Manhattan,Zabiha,"367 W 36th St, New York, NY 10018, USA"
219,Sheezaan,"183 Church Street, New York, NY",Manhattan,Zabiha,"183 Church St, New York, NY 10007, USA"
220,The MasalaWala,"179 Essex Street, New York, NY",Manhattan,Zabiha,"179 Essex St, New York, NY 10002, USA"
221,The Halal Guys,"6th Avenue & West 53rd Street, New York, NY",Manhattan,Zabiha,"6th Ave, New York, NY, USA"
222,The Halal Guys,"7th Avenue & West 53rd Street, New York, NY",Manhattan,Zabiha,"3092 Poplar Ave # 13, Memphis, TN 38111, USA"
223,Salaam Bombay,"319 Greenwich Street, New York, NY",Manhattan,Zabiha,"319 Greenwich St, New York, NY 10013, USA"
224,B & D Halal,"163 West 29th Street, New York, NY",Manhattan,Zabiha,"163 W 29th St, New York, NY 10001, USA"
225,Indo Pak Halal,"2173 2nd Avenue, New York, NY",Manhattan,Zabiha,"2173 2nd Ave, New York, NY 10029, USA"
226,Kati Roll Company,"49 West 39th Street, New York, NY",Manhattan,Zabiha,"49 W 39th St, New York, NY 10018, USA"
227,Bhatti Indian Grill,"100 Lexington Avenue, New York, NY",Manhattan,Zabiha,"100 Lexington Ave, New York, NY 10016, USA"
228,Au Za'atar,"188 Avenue A, New York, NY",Manhattan,Zabiha,"188 Avenue A, New York, NY 10009, USA"
229,Baluchi's,"37 West 43rd Street, New York, NY",Manhattan,Zabiha,"37 W 43rd St, New York, NY 10036, USA"
230,The Halal Guys,"722 Amsterdam Avenue, New York, NY",Manhattan,Zabiha,"722 Amsterdam Ave, New York, NY 10025, USA"
231,Pikine African Restaurant,"243 West 116th Street, New York, NY",Manhattan,Zabiha,"243 W 116th St, New York, NY 10026, USA"
232,Nusr-Et Steakhouse,"60 West 53rd Street, New York, NY",Manhattan,Zabiha,"60 W 53rd St, New York, NY 10019, USA"
233,Z Deli & Pizza,"803 8th Avenue, New York, NY",Manhattan,Zabiha,"803 8th Ave, New York, NY 10019, USA"
234,Curry in a Hurry,"119 Lexington Avenue, New York, NY",Manhattan,Zabiha,"119 Lexington Ave, New York, NY 10016, USA"
235,Seven's Turkish Grill,"158 West 72nd Street, New York, NY",Manhattan,Zabiha,"158 W 72nd St, New York, NY 10023, USA"
236,Anka Grill,"642 Lexington Avenue, New York, NY",Manhattan,Zabiha,"642 Lexington Ave, New York, NY 10022, USA"
237,Diwan e Khaas,"53 Nassau Street #A, New York, NY",Manhattan,Zabiha,
238,Crown Fried Chicken,"1867 Lexington Avenue, New York, NY",Manhattan,Zabiha,"1867 Lexington Ave, New York, NY 10029, USA"
239,Great Sphinx Halal Food,"74 9th Avenue, New York, NY",Manhattan,Zabiha,"74 9th Ave, New York, NY 10011, USA"
240,Halal Food Cart,"West 48th Street & Broadway, New York, NY",Manhattan,Zabiha,"W 48th St, New York, NY, USA"
241,Lemony Greek Yeero Bar,"224 West 35th Street, New York, NY",Manhattan,Zabiha,"224 W 35th St, New York, NY 10001, USA"
242,Love Mama,"174 2nd Avenue, New York, NY",Manhattan,Zabiha,"174 2nd Ave, New York, NY 10003, USA"
243,Ashoka Grill,"1436 Flatbush Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1436 Flatbush Ave, Brooklyn, NY 11210, USA"
244,Lutheran Halal Café,"5121 2nd Avenue, Brooklyn, NY",Brooklyn,Zabiha,"5121 2nd Ave, Brooklyn, NY 11232, USA"
245,Istanbul Park,"293 7th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"293 7th Ave, Brooklyn, NY 11215, USA"
246,Sahara Sweets & Bakery,"1026 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1026 Coney Island Ave, Brooklyn, NY 11230, USA"
247,Crown Fried Chicken,"1519 Fulton Street, Brooklyn, NY",Brooklyn,Zabiha,"1519 Fulton St, Brooklyn, NY 11216, USA"
248,Mazedar Zabiha Halal Meat & Grocery,"671 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"671 Coney Island Ave, Brooklyn, NY 11218, USA"
249,Kashmir Grill,"816 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"816 Coney Island Ave, Brooklyn, NY 11218, USA"
250,Opera Café Lounge,"2255 Emmons Avenue, Brooklyn, NY",Brooklyn,Zabiha,"2255 Emmons Ave, Brooklyn, NY 11235, USA"
251,Greenhouse,"90 Church Avenue, Brooklyn, NY",Brooklyn,Zabiha,"90 Church Ave, Brooklyn, NY 11218, USA"
252,Kofte Piyaz,"881 5th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"881 5th Ave, Brooklyn, NY 11232, USA"
253,Khan's Gyro & Fried Chicken,"1947 Bath Avenue, New York, NY",Brooklyn,Zabiha,"1947 Bath Ave, Brooklyn, NY 11214, USA"
254,Flatbush Halal Restaurant,"1210 Flatbush Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1210 Flatbush Ave, Brooklyn, NY 11226, USA"
255,Sweetness USA,"1150 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1150 Coney Island Ave, Brooklyn, NY 11230, USA"
256,Java Rijsttafel,"455 7th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"455 7th Ave, Brooklyn, NY 11215, USA"
257,Beyti Turkish Kebab,"414 Brighton Beach Avenue, Brooklyn, NY",Brooklyn,Zabiha,"414 Brighton Beach Ave, Brooklyn, NY 11235, USA"
258,Dar 525,"525 Grand Street, Brooklyn, NY",Brooklyn,Zabiha,"525 Grand St, Brooklyn, NY 11211, USA"
259,Sahara Ark,"887 Fulton Street, Unit C, Brooklyn, NY",Brooklyn,Zabiha,"887 Fulton St unit c, Brooklyn, NY 11238, USA"
260,New York Falafel,"127 Wyckoff Avenue, Brooklyn, NY",Brooklyn,Zabiha,"127 Wyckoff Ave, Brooklyn, NY 11237, USA"
261,David's Brisket House & Deli,"533 Nostrand Avenue, Brooklyn, NY",Brooklyn,Zabiha,"533 Nostrand Ave, Brooklyn, NY 11216, USA"
262,Your House Café,"6916 4th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"6916 4th Ave, Brooklyn, NY 11209, USA"
263,Halal International,"574 Atlantic Avenue, Brooklyn, NY",Brooklyn,Zabiha,"574 Atlantic Ave, Brooklyn, NY 11217, USA"
264,Anatolian Gyro,"2623 East 16th Street, Brooklyn, NY",Brooklyn,Zabiha,"2623 East 16th Street, Brooklyn, NY 11235, USA"
265,Mis Grill,"370 5th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"370 5th Ave, Brooklyn, NY 11215, USA"
266,Taheni Mediterranean Grill,"224 4th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"224 4th Ave, Brooklyn, NY 11215, USA"
267,Brooklyn Halal Grill,"1148 Liberty Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1148 Liberty Ave, Brooklyn, NY 11208, USA"
268,Momo's Mediterranean Grill,"29 101st Avenue, Brooklyn, NY",Brooklyn,Zabiha,"29 101st Ave, Brooklyn, NY 11208, USA"
269,Burger Box,"2930 Avenue X, Brooklyn, NY",Brooklyn,Zabiha,"2930 Avenue X, Brooklyn, NY 11235, USA"
270,My House Burgers & Shakes,"1650 Sheepshead Bay Road, Brooklyn, NY",Brooklyn,Zabiha,"1650 Sheepshead Bay Rd, Brooklyn, NY 11235, USA"
271,Ali's Roti Shop,"1267 Fulton Street, Brooklyn, NY",Brooklyn,Zabiha,"1267 Fulton St, Brooklyn, NY 11216, USA"
272,Gyro King,"1017 Foster Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1017 Foster Ave, Brooklyn, NY 11236, USA"
273,Pakiza,"1032 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1032 Coney Island Ave, Brooklyn, NY 11230, USA"
274,Moon Café,"496 Atlantic Avenue, Brooklyn, NY",Brooklyn,Zabiha,"496 Atlantic Ave, Brooklyn, NY 11217, USA"
275,Café Kashker,"1141 Brighton Beach Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1141 Brighton Beach Ave, Brooklyn, NY 11235, USA"
276,Pak Nasheman,"3149 Coney Island Avenue, New York, NY",Brooklyn,Zabiha,"3149 Coney Island Ave, Brooklyn, NY 11235, USA"
277,Curry Heights,"151 Remsen Street, Brooklyn, NY",Brooklyn,Zabiha,"151 Remsen St, Brooklyn, NY 11201, USA"
278,King Falafel,"7408 3rd Avenue, Brooklyn, NY",Brooklyn,Zabiha,"7408 3rd Ave, Brooklyn, NY 11209, USA"
279,The Soul Spot,"302 Atlantic Avenue, Brooklyn, NY",Brooklyn,Zabiha,"302 Atlantic Ave, Brooklyn, NY 11201, USA"
280,Yemen Café,"176 Atlantic Avenue, New York, NY",Brooklyn,Zabiha,"176 Atlantic Ave, Brooklyn, NY 11201, USA"
281,China Pagoda,"6918 5th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"6918 5th Ave, Brooklyn, NY 11209, USA"
282,SkyIce Sweet & Savory,"63 5th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"63 5th Ave, Brooklyn, NY 11217, USA"
283,No Pork Halal Kitchen,"50 4th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"50 4th Ave, Brooklyn, NY 11217, USA"
284,Taci's Beyti,"1955 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1955 Coney Island Ave, Brooklyn, NY 11223, USA"
285,First Oasis,"9218 4th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"9218 4th Ave, Brooklyn, NY 11209, USA"
286,La Bella Pizza Express,"2178 86th Street, Brooklyn, NY",Brooklyn,Zabiha,"2178 86th St, Brooklyn, NY 11214, USA"
287,Istanbul Restaurant,"1715 Emmons Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1715 Emmons Ave, Brooklyn, NY 11235, USA"
288,Al-Noor Halal Deli,"672 4th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"672 4th Ave, Brooklyn, NY 11232, USA"
289,Abir Halal,"526 Nostrand Avenue, Brooklyn, NY",Brooklyn,Zabiha,"526 Nostrand Ave, Brooklyn, NY 11216, USA"
290,Jamal's Halal Restaurant & Bakery,"308 Ralph Avenue, Brooklyn, NY",Brooklyn,Zabiha,"308 Ralph Ave, Brooklyn, NY 11233, USA"
291,Joloff,"1168 Bedford Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1168 Bedford Ave, Brooklyn, NY 11216, USA"
292,Kennedy Fried Chicken,"2904 Stillwell Avenue, Brooklyn, NY",Brooklyn,Zabiha,"2904 Stillwell Ave, Brooklyn, NY 11224, USA"
293,Punjab Grocery,"1083 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1083 Coney Island Ave, Brooklyn, NY 11230, USA"
294,Gourmet Sweets,"1107 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1107 Coney Island Ave, Brooklyn, NY 11230, USA"
295,Güllüoğlu Café,"1985 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1985 Coney Island Ave, Brooklyn, NY 11223, USA"
296,KFC,"208 McGuinness Blvd., Brooklyn, NY",Brooklyn,Zabiha,"208 McGuinness Blvd, Brooklyn, NY 11222, USA"
297,Shawarma Cart,"116 Wyckoff Avenue, Brooklyn, NY",Brooklyn,Zabiha,"116 Wyckoff Ave, Brooklyn, NY 11237, USA"
298,Halal Paradise Truck,"20 4th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"20 4th Ave, Brooklyn, NY 11217, USA"
299,Famous Turkish Gyro,"1915 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1915 Coney Island Ave, Brooklyn, NY 11230, USA"
300,Gyro Café,"580 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"580 Coney Island Ave, Brooklyn, NY 11218, USA"
301,Abdullah Sweets & Restaurant,"91 Church Avenue, Brooklyn, NY",Brooklyn,Zabiha,"91 Church Ave, Brooklyn, NY 11218, USA"
302,Chicken Express,"1013 Avenue H, Brooklyn, NY",Brooklyn,Zabiha,"1013 Avenue H, Brooklyn, NY 11230, USA"
303,Kennedy Fried Chicken,"5424 7th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"5424 7th Ave, Brooklyn, NY 11220, USA"
304,Café Kashkar,"1141 Brighton Beach Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1141 Brighton Beach Ave, Brooklyn, NY 11235, USA"
305,Crown Chicken & Biscuit,"96-15 Flatlands Avenue, Brooklyn, NY",Brooklyn,Zabiha,"9615 Flatlands Ave, Brooklyn, NY 11236, USA"
306,Gandhi Fine Indian Cuisine,"2032 Bedford Avenue, Brooklyn, NY",Brooklyn,Zabiha,"2032 Bedford Ave, Brooklyn, NY 11226, USA"
307,Crown Fried Chicken,"1263 Nostrand Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1263 Nostrand Ave, Brooklyn, NY 11226, USA"
308,Bedawi Café,"266 Prospect Park West, Brooklyn, NY",Brooklyn,Zabiha,"266 Prospect Park West, Brooklyn, NY 11215, USA"
309,Halal Food Cart,"Avenue X & W 2nd St, Brooklyn, NY",Brooklyn,Zabiha,"Avenue X, Brooklyn, NY, USA"
310,Crown Fried Chicken,"1357 Fulton Street, Brooklyn, NY",Brooklyn,Zabiha,"1357 Fulton St, Brooklyn, NY 11216, USA"
311,Kennedy Fried Chicken,"1922 Nostrand Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1922 Nostrand Ave, Brooklyn, NY 11210, USA"
312,Halal Cart,"1268 Bedford Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1268 Bedford Ave, Brooklyn, NY 11216, USA"
313,Crazy Fried Chicken,"55-30 Myrtle Avenue, Ridgewood, NY",Brooklyn,Zabiha,"55-30 Myrtle Ave, Flushing, NY 11385, USA"
314,Sakman Deli & Grill,"6821 4th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"6821 4th Ave, Brooklyn, NY 11220, USA"
315,Damas Falafel House,"407 Myrtle Avenue, Brooklyn, NY",Brooklyn,Zabiha,"407 Myrtle Ave, Brooklyn, NY 11205, USA"
316,Kennedy Fried Chicken & Pizza,"1508 Saint Johns Place, Brooklyn, NY",Brooklyn,Zabiha,"1508 St Johns Pl, Brooklyn, NY 11213, USA"
317,Al-Safa,"8002 5th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"8002 5th Ave, Brooklyn, NY 11209, USA"
318,Shandar Sweets & Restaurant,"679 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"679 Coney Island Ave, Brooklyn, NY 11218, USA"
319,Mr. Falafel,"226 7th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"226 7th Ave, Brooklyn, NY 11215, USA"
320,Fava Mediterranean Grill,"6917 5th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"6917 5th Ave, Brooklyn, NY 11209, USA"
321,Halal Cart Food,"Fresh Pond Road & Madison Street, Ridgewood, NY",Brooklyn,Zabiha,"Fresh Pond Rd, Queens, NY, USA"
322,Shama,"232 Neptune Avenue, Brooklyn, NY",Brooklyn,Zabiha,"232 Neptune Ave, Brooklyn, NY 11235, USA"
323,Bombay Heights,"1047 Bedford Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1047 Bedford Ave, Brooklyn, NY 11216, USA"
324,Nepalese Indian Restaurant,"907 Seneca Avenue, Ridgewood, NY",Brooklyn,Zabiha,"907 Seneca Ave, Ridgewood, NY 11385, USA"
325,Agra Heights,"226 Wilson Avenue, Brooklyn, NY",Brooklyn,Zabiha,"226 Wilson Ave, Brooklyn, NY 11237, USA"
326,Hadramout,"172 Atlantic Avenue, Brooklyn, NY",Brooklyn,Zabiha,"172 Atlantic Ave, Brooklyn, NY 11201, USA"
327,Masal Café & Lounge,"1901 Emmons Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1901 Emmons Ave, Brooklyn, NY 11235, USA"
328,Baluchi's,"310 5th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"310 5th Ave, Brooklyn, NY 11215, USA"
329,Taksim Square (II),"776 4th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"776 4th Ave, Brooklyn, NY 11232, USA"
330,Halal Shish Kebab & Gyro,"487 73rd Street, New York, NY",Brooklyn,Zabiha,"487 E 73rd St, New York, NY 10021, USA"
331,Kestane Kebab,"110 Nassau Avenue #B, Brooklyn, NY",Brooklyn,Zabiha,
332,Sido Gourmet,"849 46th Street, Brooklyn, NY",Brooklyn,Zabiha,"849 46th St, Brooklyn, NY 11220, USA"
333,Yemen Alsaeed Café,"7130 5th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"7130 5th Ave, Brooklyn, NY 11209, USA"
334,Yemen Cuisine,"145 Court Street, Brooklyn, NY",Brooklyn,Zabiha,"145 Court St, Brooklyn, NY 11201, USA"
335,Halal Restaurant Corp.,"1174 Fulton Street, Brooklyn, NY",Brooklyn,Zabiha,"1174 Fulton St, Brooklyn, NY 11216, USA"
336,Aksaray Turkish Café,"1618 East 16th Street, Brooklyn, NY",Brooklyn,Zabiha,"1618 East 16th Street, Brooklyn, NY 11229, USA"
337,Meena House Café,"476 Bay Ridge Avenue, New York, NY",Brooklyn,Zabiha,"476 Bay Ridge Ave, Brooklyn, NY 11220, USA"
338,Madina Restaurant & Sweets,"563 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"563 Coney Island Ave, Brooklyn, NY 11218, USA"
339,King of Tandoor,"7407 3rd Avenue, Brooklyn, NY",Brooklyn,Zabiha,"7407 3rd Ave, Brooklyn, NY 11209, USA"
340,King of Tandoor,"600 Flatbush Avenue, Brooklyn, NY",Brooklyn,Zabiha,"600 Flatbush Ave, Brooklyn, NY 11225, USA"
341,La Goulette,"159 Grand Street, Brooklyn, NY",Brooklyn,Zabiha,"159 Grand St, Brooklyn, NY 11249, USA"
342,Curry Heaven,"513 Grand Street, Brooklyn, NY",Brooklyn,Zabiha,"513 Grand St, Brooklyn, NY 11211, USA"
343,Oasis of Greenpoint,"230 Calyer Street, Brooklyn, NY",Brooklyn,Zabiha,"230 Calyer St, Brooklyn, NY 11222, USA"
344,God Bless Deli,"818 Manhattan Avenue, Brooklyn, NY",Brooklyn,Zabiha,"818 Manhattan Ave, Brooklyn, NY 11222, USA"
345,Nostrand Express Deli,"2184 Nostrand Avenue, Brooklyn, NY",Brooklyn,Zabiha,"2184 Nostrand Ave, Brooklyn, NY 11210, USA"
346,Tripoli,"156 Atlantic Avenue, Brooklyn, NY",Brooklyn,Zabiha,"156 Atlantic Ave, Brooklyn, NY 11201, USA"
347,Organic Halal Deli,"3602 Neptune Avenue, Brooklyn, NY",Brooklyn,Zabiha,"3602 Neptune Ave, Brooklyn, NY 11224, USA"
348,Rocca Café Lounge,"2712 Emmons Avenue, Brooklyn, NY",Brooklyn,Zabiha,"2712 Emmons Ave, Brooklyn, NY 11235, USA"
349,Bushwick Pita Palace,"243 Bushwick Avenue, Brooklyn, NY",Brooklyn,Zabiha,"243 Bushwick Ave, Brooklyn, NY 11206, USA"
350,Emir Palace,"4210 18th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"4210 18th Ave, Brooklyn, NY 11218, USA"
351,Uzbechka,"42 Avenue O, Bensonhurst, NY",Brooklyn,Zabiha,"42 Avenue O, Brooklyn, NY 11204, USA"
352,Güllüoglu Baklava Café,"231 Brighton Beach Avenue, Brooklyn, NY",Brooklyn,Zabiha,"231 Brighton Beach Ave, Brooklyn, NY 11235, USA"
353,Deniz,"662 Fulton Street, Brooklyn, NY",Brooklyn,Zabiha,"662 Fulton St, Brooklyn, NY 11207, USA"
354,Buka,"946 Fulton Street, Brooklyn, NY",Brooklyn,Zabiha,"946 Fulton St, Brooklyn, NY 11238, USA"
355,Café Rue Dix,"1451 Bedford Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1451 Bedford Ave, Brooklyn, NY 11216, USA"
356,Le Sajj,"8221 5th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"8221 5th Ave, Brooklyn, NY 11209, USA"
357,Crown Fried Chicken,"1604 Newkirk Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1604 Newkirk Ave, Brooklyn, NY 11226, USA"
358,Kennedy Fried Chicken,"1258 Flatbush Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1258 Flatbush Ave, Brooklyn, NY 11226, USA"
359,Bab Alhara,"376 86th Street, Brooklyn, NY",Brooklyn,Zabiha,"376 86th St, Brooklyn, NY 11209, USA"
360,Cocoa Grinder,"8521 4th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"8521 4th Ave, Brooklyn, NY 11209, USA"
361,Mumbai Place,"655 Vanderbilt Avenue, Brooklyn, NY",Brooklyn,Zabiha,"655 Vanderbilt Ave, Brooklyn, NY 11238, USA"
362,Lazzat,"1969 Bath Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1969 Bath Ave, Brooklyn, NY 11214, USA"
363,All About Indian Food,"443 Bushwick Avenue, Brooklyn, NY",Brooklyn,Zabiha,"443 Bushwick Ave, Brooklyn, NY 11206, USA"
364,Chubby's Chicken & Burgers,"7021 3rd Avenue, Brooklyn, NY",Brooklyn,Zabiha,"7021 3rd Ave, Brooklyn, NY 11209, USA"
365,Bombay Grill,"8716 3rd Avenue, Brooklyn, NY",Brooklyn,Zabiha,"8716 3rd Ave, Brooklyn, NY 11209, USA"
366,Mocha Mocha Coffee,"8602 4th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"8602 4th Ave, Brooklyn, NY 11209, USA"
367,Keep It Halal,"1162 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1162 Coney Island Ave, Brooklyn, NY 11230, USA"
368,Agra King,"1961 Flatbush Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1961 Flatbush Ave, Brooklyn, NY 11234, USA"
369,Clubs Gyro,"1026 Nostrand Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1026 Nostrand Ave, Brooklyn, NY 11225, USA"
370,Istanbul Kitchen,"535 86th Street, Brooklyn, NY",Brooklyn,Zabiha,"535 86th St, Brooklyn, NY 11209, USA"
371,Crisp & Crunch,"1258 Flatbush Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1258 Flatbush Ave, Brooklyn, NY 11226, USA"
372,Safari,"219 West 116th Street, New York, NY",Brooklyn,Zabiha,"219 W 116th St, New York, NY 10026, USA"
373,Café Dushanbe,"1788 Sheepshead Bay Road, Brooklyn, NY",Brooklyn,Zabiha,"1788 Sheepshead Bay Rd, Brooklyn, NY 11235, USA"
374,Azerbaijan House,"2612 East 14th Street, Brooklyn, NY",Brooklyn,Zabiha,"2612 E 14th St, Brooklyn, NY 11235, USA"
375,Crown Fried Chicken,"2813 Glenwood Road, Brooklyn, NY",Brooklyn,Zabiha,"2813 Glenwood Rd, Brooklyn, NY 11210, USA"
376,Atomic Wings,"188 Parkside Avenue, Brooklyn, NY",Brooklyn,Zabiha,"188 Parkside Ave, Brooklyn, NY 11226, USA"
377,Kennedy Fried Chicken,"1676 Nostrand Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1676 Nostrand Ave, Brooklyn, NY 11226, USA"
378,Palace on Fulton,"1882 Fulton Street, Brooklyn, NY",Brooklyn,Zabiha,"1882 Fulton St, Brooklyn, NY 11233, USA"
379,Gusho Healthy Choice,"1747 Fulton Street, Brooklyn, NY",Brooklyn,Zabiha,"1747 Fulton St, Brooklyn, NY 11233, USA"
380,US Fried Chicken & Pizza,"1231 Nostrand Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1231 Nostrand Ave, Brooklyn, NY 11225, USA"
381,BK JANI,"276 Knickerbocker Avenue, Brooklyn, NY",Brooklyn,Zabiha,"276 Knickerbocker Ave, Brooklyn, NY 11237, USA"
382,Harway Pizza Gyro Falafel,"2863 Harway Avenue, Brooklyn, NY",Brooklyn,Zabiha,"2863 Harway Ave, Brooklyn, NY 11214, USA"
383,Sultan,"144 Atlantic Avenue, Brooklyn, NY",Brooklyn,Zabiha,"144 Atlantic Ave, Brooklyn, NY 11201, USA"
384,Gyro Mania,"2151 Bath Avenue, Brooklyn, NY",Brooklyn,Zabiha,"2151 Bath Ave, Brooklyn, NY 11214, USA"
385,Anarkali,"1125 Church Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1125 Church Ave, Brooklyn, NY 11218, USA"
386,NY Fried Chicken & Pizza,"2193 Bedford Avenue, Brooklyn, NY",Brooklyn,Zabiha,"2193 Bedford Ave, Brooklyn, NY 11226, USA"
387,Sal's Restaurant,"810 Franklin Avenue, Brooklyn, NY",Brooklyn,Zabiha,"810 Franklin Ave, Brooklyn, NY 11225, USA"
388,Motin Spices & Sweets,"1215 Liberty Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1215 Liberty Ave, Brooklyn, NY 11208, USA"
389,Kennedy Fried Chicken & Pizza,"2837 86th Street, Brooklyn, NY",Brooklyn,Zabiha,"2837 86th St, Brooklyn, NY 11223, USA"
390,Darna Falafel,"200 Court Street, Brooklyn, NY",Brooklyn,Zabiha,"200 Court St, Brooklyn, NY 11201, USA"
391,Hadi,"683 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"683 Coney Island Ave, Brooklyn, NY 11218, USA"
392,Mazeish Grill,"137 Rivington Street, New York, NY",Brooklyn,Zabiha,"137 Rivington St, New York, NY 10002, USA"
393,Le Baobab Gouygi 2,"1235 Fulton Street, Brooklyn, NY",Brooklyn,Zabiha,"1235 Fulton St, Brooklyn, NY 11216, USA"
394,Krown Fried Chicken,"1843 Nostrand Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1843 Nostrand Ave, Brooklyn, NY 11226, USA"
395,Cortelyou Bazaar,"211 Cortelyou Road, Brooklyn, NY",Brooklyn,Zabiha,"211 Cortelyou Rd, Brooklyn, NY 11218, USA"
396,Bombay Xpress,"964 Dekalb Avenue, Brooklyn, NY",Brooklyn,Zabiha,"964 Dekalb Ave, Brooklyn, NY 11221, USA"
397,Taj Masala,"256 Malcolm X Blvd., Brooklyn, NY",Brooklyn,Zabiha,"256 Malcolm X Blvd, Brooklyn, NY 11233, USA"
398,Pita Pan,"167 7th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"167 7th Ave, Brooklyn, NY 11215, USA"
399,Lahori Chilli,"1026 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1026 Coney Island Ave, Brooklyn, NY 11230, USA"
400,The Halal Spot,"474 Myrtle Avenue, Brooklyn, NY",Brooklyn,Zabiha,"474 Myrtle Ave, Brooklyn, NY 11205, USA"
401,Dixie Chicken & Grill,"7504 5th Avenue, Brooklyn, NY",Brooklyn,Zabiha,"7504 5th Ave, Brooklyn, NY 11209, USA"
402,KFC,"534 Coney Island Avenue, Brooklyn, NY",Brooklyn,Zabiha,"534 Coney Island Ave, Brooklyn, NY 11218, USA"
403,H&W Gourmet Deli,"3423 Church Avenue, Brooklyn, NY",Brooklyn,Zabiha,"3423 Church Ave, Brooklyn, NY 11203, USA"
404,Efes Café & Bakery,"601 Brighton Beach Avenue, Brooklyn, NY",Brooklyn,Zabiha,"601 Brighton Beach Ave, Brooklyn, NY 11235, USA"
405,M&S Deli & Grocery,"1294 Nostrand Avenue, Brooklyn, NY",Brooklyn,Zabiha,"1294 Nostrand Ave, Brooklyn, NY 11226, USA"
406,Tutt Café,"47 Hicks Street, Brooklyn, NY",Brooklyn,Zabiha,"47 Hicks St, Brooklyn, NY 11201, USA"
