name,platform_id,url,total_review_count,address,id,image_url,lat,lng,score
Taim West Village,j0n_poMVZnODYOFviLbh0Q,https://www.yelp.com/biz/taim-west-village-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,1523.0,"222 Waverly Pl,New York, NY 10014",5720,https://s3-media2.fl.yelpcdn.com/bphoto/zZ5jqOKvkLmfzixJksSPEA/o.jpg,40.736,-74.002,2
brother's kitchen,w-HSX2_GrWC6qEGliMBRAQ,https://www.yelp.com/biz/brothers-kitchen-brooklyn-4?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,2.0,"446 Fulton St,Brooklyn, NY 11201",5821,https://s3-media2.fl.yelpcdn.com/bphoto/vInrsE0Q25z9AzP1pXsZzw/o.jpg,40.6905,-73.9853,3
Miss Lily's,TkBJW-GIJF_6wW1OG3i-8A,https://www.yelp.com/biz/miss-lilys-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,1101.0,"132 W Houston St,New York, NY 10012",5822,https://s3-media2.fl.yelpcdn.com/bphoto/DSfQzEl4sfw8Y7d9tLLIEg/o.jpg,40.7279,-74.0016,5
Adam's Halal Cart,omtLJquUpISQPDS4QNEgpg,https://www.yelp.com/biz/adams-halal-cart-jersey-city?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,4.0,"306 Academy St,Jersey City, NJ 07306",5827,https://s3-media1.fl.yelpcdn.com/bphoto/qOFW09-Uldr-xAZ4QySLWA/o.jpg,40.7294,-74.0658,1
Souvlaki GR,gG0pitVnSaUMGbEL3boF0g,https://www.yelp.com/biz/souvlaki-gr-new-york-3?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,881.0,"116 Stanton St,New York, NY 10002",5828,https://s3-media1.fl.yelpcdn.com/bphoto/rqlJ6jRDOm9ArLNjqvqHlQ/o.jpg,40.7212,-73.9871,2
The Original Buddha Bodai Kosher Vegetarian Restaurant,tguMh2GgOcU9fu6WN3dqpw,https://www.yelp.com/biz/the-original-buddha-bodai-kosher-vegetarian-restaurant-new-york-4?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,999.0,"5 Mott St,New York, NY 10013",5829,https://s3-media2.fl.yelpcdn.com/bphoto/9hskGfUGF6PHj2iN_myuRQ/o.jpg,40.7139,-73.9989,2
Sahara's Turkish Cuisine,TdAjlHUnsMyFsJheue8aRQ,https://www.yelp.com/biz/saharas-turkish-cuisine-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,249.0,"513 2nd Ave,New York, NY 10016",5833,https://s3-media2.fl.yelpcdn.com/bphoto/n4P-z-MBCNnTjCyl7Dt7AQ/o.jpg,40.7414,-73.9785,5
Brooklyn Chop House,A0saPXtRGKl-SVJGQyQAOw,https://www.yelp.com/biz/brooklyn-chop-house-new-york-3?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,434.0,"150 Nassau St,New York, NY 10038",5863,https://s3-media1.fl.yelpcdn.com/bphoto/v_C5TFckFT2rfH-DXIousw/o.jpg,40.7115,-74.006,3
The Halal Guys,xEnNFXtMLDF5kZDxfaCJgA,https://www.yelp.com/biz/the-halal-guys-new-york-2?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,9456.0,"West 53rd St,New York, NY 10019",5692,https://s3-media3.fl.yelpcdn.com/bphoto/XJTkGcf2ENd-CUTK9slWqw/o.jpg,40.7638,-73.9838,1
Adel's Famous Halal Food,L6DAp6L1ZJKeeDN2PwoOLQ,https://www.yelp.com/biz/adels-famous-halal-food-new-york?adjust_creative=xl_eXoprFhB3R9K5U7OxqQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=xl_eXoprFhB3R9K5U7OxqQ,249.0,"49th & 6th,New York, NY 10019",5699,https://s3-media2.fl.yelpcdn.com/bphoto/v4a2PNP0mhEkExzYGG1_MQ/o.jpg,40.7639,-73.9919,1
