name,coordinates,borough,url
United Fried Chicken & Pizza,"40.816647,-73.939216",Manhattan,https://www.zabihah.com/biz/83QBIJevzn
Junoon,"40.743193,-73.990838",Manhattan,https://www.zabihah.com/biz/Juu51mgGsv
Ambizza Caf̩ Truck,"40.7040511,-74.0090199",Manhattan,https://www.zabihah.com/biz/iH5TLZjUPt
Falafel on Broadway,"40.8145141601562,-73.9596633911133",Manhattan,https://www.zabihah.com/biz/aDsCvUAas7
Malai Marke,"40.7267912,-73.987791",Manhattan,https://www.zabihah.com/biz/tG84kmn0vh
Moustache Pitza,"40.728489,-73.983176",Manhattan,https://www.zabihah.com/biz/B0j1fGAm9w
Bawarchi,"40.7928009033203,-73.9504165649414",Manhattan,https://www.zabihah.com/biz/XogKYiIO2D
Kopi Kopi,"40.7293583,-73.9983012",Manhattan,https://www.zabihah.com/biz/U0gdTX6skb
The Halal Guys,"40.7323359,-73.984375",Manhattan,https://www.zabihah.com/biz/coTh4bOvVJ
Simit Sarayi,"40.751201,-73.9820617",Manhattan,https://www.zabihah.com/biz/cbCUHzPyGJ
Awadh,"40.7955865,-73.9707432",Manhattan,https://www.zabihah.com/biz/R9UNC9pTUa
Tallgrass Burger,"40.730414,-73.982879",Manhattan,https://www.zabihah.com/biz/QspxDJu8wu
Ravagh Persian Grill,"40.7274097,-73.9857329",Manhattan,https://www.zabihah.com/biz/L4sZSPOTF4
Atomic Wings,"40.7294723,-73.983672",Manhattan,https://www.zabihah.com/biz/0v6MFhkeRn
Deccan Spice,"40.742821,-73.982579",Manhattan,https://www.zabihah.com/biz/iRQLJ4KXll
Dera,"40.7421434,-73.9825013",Manhattan,https://www.zabihah.com/biz/deTtfqMidu
Turkuaz,"40.7653805,-73.9832642",Manhattan,https://www.zabihah.com/biz/7mVMcYHudt
Farah Anatolia,"40.7614764,-73.9601655",Manhattan,https://www.zabihah.com/biz/n3e8fyrS3P
Farida,"40.7555971,-73.9942743",Manhattan,https://www.zabihah.com/biz/MVyanqrS9N
Holy Cow,"40.7458746,-73.9879169",Manhattan,https://www.zabihah.com/biz/RSY6jsMu9i
NY Gyro Xpress,"40.7419003,-74.0006443",Manhattan,https://www.zabihah.com/biz/m0t7Zu4Xkt
Les Ambassades,"40.8060722,-73.9537925",Manhattan,https://www.zabihah.com/biz/VIYD0W8wkj
Manhattan Halal Restaurant,"40.7473849,-73.9923965",Manhattan,https://www.zabihah.com/biz/uwIQ86M7FC
Zeytin Mediterranean,"40.7057092,-74.0074731",Manhattan,https://www.zabihah.com/biz/nFgTGTOKf1
Aleef Caf̩,"40.7561892,-73.9925985",Manhattan,https://www.zabihah.com/biz/9BXMgX9DKY
Rasa,"40.7327654,-73.9975674",Manhattan,https://www.zabihah.com/biz/tWTxHMKnBg
Afghan Kabob Express,"40.76303,-73.9781429",Manhattan,https://www.zabihah.com/biz/ZsNhuzMxwV
Turkuaz,"40.7643988,-73.9855199",Manhattan,https://www.zabihah.com/biz/LRdQeiRhpi
Shahi Biryani & Grill,"40.801197052002,-73.961051940918",Manhattan,https://www.zabihah.com/biz/9eFMlALato
Turco Mediterranean Grill,"40.7591309,-73.991787",Manhattan,https://www.zabihah.com/biz/Ia7j1BGl7P
Ravagh Persian Grill,"40.74571,-73.9854427",Manhattan,https://www.zabihah.com/biz/XhugphUeWR
Pars Grill House & Bar,"40.747105,-73.996286",Manhattan,https://www.zabihah.com/biz/PN8ZwMT9cm
Africa Kin̩,"40.8040975,-73.9551198",Manhattan,https://www.zabihah.com/biz/IBEhnghsWq
Keur Sokhna,"40.8135742,-73.9448191",Manhattan,https://www.zabihah.com/biz/F6XWn1i6D0
Lasani,"40.745531,-73.987836",Manhattan,https://www.zabihah.com/biz/63aU505EOS
Pizza & Pita,"40.7440352,-73.9741738",Manhattan,https://www.zabihah.com/biz/jAkOh2gpqu
Halal Cart,"40.720755,-74.010001",Manhattan,https://www.zabihah.com/biz/i4olLlyhG6
Ali Baba's Turkish Cuisine,"40.7523489,-73.9700115",Manhattan,https://www.zabihah.com/biz/EgQ9lLD8yO
Ariana,"40.7651682,-73.9880105",Manhattan,https://www.zabihah.com/biz/gYTY2pHQKR
Smokey Burger Organic,"40.759482,-73.990467",Manhattan,https://www.zabihah.com/biz/V6URMFyiWe
Patiala,"40.7533315,-73.9961246",Manhattan,https://www.zabihah.com/biz/nwEa20UBt6
Afghan Kebab House #2,"40.767791,-73.959309",Manhattan,https://www.zabihah.com/biz/p371CkJPU4
BURGERS by Honest Chops,"40.7296283,-74.0010291",Manhattan,https://www.zabihah.com/biz/ooHf7rdvh5
Joy,"40.753516,-73.973653",Manhattan,https://www.zabihah.com/biz/TettM6rnke
ABA Turkish Restaurant,"40.767465,-73.9840271",Manhattan,https://www.zabihah.com/biz/3nQsdqBOqv
The Halal Guys,"40.7617697864771,-73.9790602773428",Manhattan,https://www.zabihah.com/biz/P6o0fLp5qc
Wall Street Halal Truck Guy,"40.70536,-74.00763",Manhattan,https://www.zabihah.com/biz/CAEdu8gmuk
Gyro Guy,"40.7585,-73.97915",Manhattan,https://www.zabihah.com/biz/qJo9A0S3BO
Halal Cart,"40.744008,-73.9856959",Manhattan,https://www.zabihah.com/biz/ddX9KeV0mk
Halal Cart Guy,"40.7142821,-74.0114694",Manhattan,https://www.zabihah.com/biz/Ox3pk3VY8o
Aamir Halal Food Cart,"40.757269,-73.9819229",Manhattan,https://www.zabihah.com/biz/m4BSFh8E4P
Ravagh Persian Grill,"40.7618603,-73.9606408",Manhattan,https://www.zabihah.com/biz/bCRiLZ9kfb
Baba Ghanouge,"40.7151396,-74.0077461",Manhattan,https://www.zabihah.com/biz/Ew0V9bxtJW
Masala Times,"40.7291529,-74.001681",Manhattan,https://www.zabihah.com/biz/5FNBwfno2J
Istanbul Kebab House,"40.7626288,-73.9893799",Manhattan,https://www.zabihah.com/biz/7X5ApgACKg
48th & 6th Halal Cart,"40.7586456,-73.9813552",Manhattan,https://www.zabihah.com/biz/hozKk7IT9k
Agora,"40.7749619,-73.9541997",Manhattan,https://www.zabihah.com/biz/RWcyuES6i9
Joy Curry & Tandoor,"40.752071,-73.984026",Manhattan,https://www.zabihah.com/biz/lVzcapyc2W
Shendey's Halal Cart,"40.75885,-73.974064",Manhattan,https://www.zabihah.com/biz/8MtTAlnCfz
Kennedy Fried Chicken,"40.729432,-73.978802",Manhattan,https://www.zabihah.com/biz/W6Scl5D3Np
Platter,"40.761147,-73.9795077",Manhattan,https://www.zabihah.com/biz/HGsPNPEwJm
Prince of Egypt Cart,"40.75535,-73.9754",Manhattan,https://www.zabihah.com/biz/eZoZvrc13V
Sip Sak,"40.754336,-73.968502",Manhattan,https://www.zabihah.com/biz/PegGC6hz63
Gyro Stand,"40.7533,-73.9726",Manhattan,https://www.zabihah.com/biz/E0yLOCjhgh
Swagat,"40.748144,-73.993104",Manhattan,https://www.zabihah.com/biz/5qHaVlNSTg
Tandoor Palace,"40.709268,-74.005846",Manhattan,https://www.zabihah.com/biz/tjKa16q0xY
Kennedy Fried Chicken,"40.8615532,-73.9250403",Manhattan,https://www.zabihah.com/biz/3k03WsUhm1
Tagine,"40.754057,-73.989497",Manhattan,https://www.zabihah.com/biz/qRwArWy6ta
Haveli,"40.727111,-73.988342",Manhattan,https://www.zabihah.com/biz/AIPzCSFbRu
Djerdan Burak,"40.7673191,-73.9691799",Manhattan,https://www.zabihah.com/biz/DyZP1IRh2h
Express Power Lunch Halal Food Cart,"40.7545719,-73.9716869",Manhattan,https://www.zabihah.com/biz/lVelROJzSx
Xpress Energy Halal Food Cart,"40.7040908,-74.0131726",Manhattan,https://www.zabihah.com/biz/VIVCayRt84
