name,address,tags
The Alchemist,"Wilton Manors, FL","['Coffee & Tea', 'Breakfast & Brunch']"
Casablanca Restaurant and Bakery,"Kissimmee, FL","['Moroccan', 'Bakeries']"
Ameena’s Florist,"Brooklyn, NY",['Florists']
Nelly’s Flower Shop,"Brooklyn, NY","['Florists', 'Nurseries & Gardening']"
Bahar Masala,"Brooklyn, NY","['Afghan', 'Halal']"
Rimtin Mediterranean Restaurant,"Forest Hills, NY","['Mediterranean', 'Turkish']"
SkyIce Sweet & Savory,"Brooklyn, NY","['Ice Cream & Frozen Yogurt', 'Thai']"
Cocoa Grinder,"Brooklyn, NY","['Coffee & Tea', 'Breakfast & Brunch']"
Doughnut Plant,"Brooklyn, NY","['Donuts', 'Coffee & Tea']"
Woops!,"Brooklyn, NY","['Bakeries', 'Macarons']"
Abracadabra Brooklyn,"Williamsburg, NY","['Turkish', 'American (New)']"
Martha’s Country Bakery,"Brooklyn, NY","['Bakeries', 'Coffee & Tea']"
Bombay Xpress,"Brooklyn, NY",['Indian']
Florist Hills & Garden Center,"Rego Park, NY",['Florists']
Soy Bean Chen Flower Shop,"Flushing, NY","['Florists', 'Desserts']"
Garden World,"Flushing, NY","['Nurseries & Gardening', 'Florists']"
Sunrise Kitchen and Hardware Supplies,"Flushing, NY",['Home & Garden']
Prince Coffee House,"Bronx, NY",['Coffee & Tea']
Dar 525,"Brooklyn, NY","['Mediterranean', 'Middle Eastern']"
Wholesome Cuts,"Brooklyn, NY",['Meat Shops']
Cafe Tarantin,"New York, NY","['Mediterranean', 'Cafes']"
Lollino Gelateria & Espresso Bar,"New York, NY","['Coffee & Tea', 'Gelato']"
Kabul Kabab House,"Flushing, NY","['Afghan', 'Halal']"
Taheni Mediterranean Grill,"Brooklyn, NY","['Falafel', 'Middle Eastern']"
ilili,"New York, NY","['Mediterranean', 'Lebanese']"
Balade - Your Way,"New York, NY","['Lebanese', 'Mediterranean']"
Yemen Cafe & Restaurant,"Brooklyn, NY","['Middle Eastern', 'Cafes']"
Mamoun’s Falafel,"New York, NY","['Middle Eastern', 'Falafel']"
Khushboo Indian Restaurant,"New York, NY","['Indian', 'Wine Bars']"
Kottu House,"New York, NY",['Sri Lankan']
Burgers By Honest Chops,"New York, NY","['Halal', 'Burgers']"
Garden Gourmet Market,"Riverdale, NY","['Grocery', 'Specialty Food']"
Tin Cup Cafe,"Greenwood, NY",['Coffee & Tea']
Roots Cafe,"Brooklyn, NY","['Coffee & Tea', 'Breakfast & Brunch']"
Cafe Mogador,"Brooklyn, NY","['Moroccan', 'Breakfast & Brunch']"
Pates Et Traditions,"Brooklyn, NY","['French', 'Desserts']"
Burger & Lobster,"New York, NY","['Seafood', 'Burgers']"
Almayass Restaurant NYC,"New York, NY","['Mediterranean', 'Armenian']"
Sohha Savory Yogurt,"New York, NY",['Middle Eastern']
L’albero Dei Gelati,"Brooklyn, NY","['Gelato', 'Bars']"
Lunitas,"Brooklyn, NY","['Cafes', 'American (New)']"
Red Lantern Bicycles,"Brooklyn, NY","['Bikes', 'Coffee & Tea']"
Rocca Cafe Lounge,"Brooklyn, NY","['Turkish', 'Mediterranean']"
Cohen I B & Sons,"New Rochelle, NY",['Fashion']
Round K,"New York, NY","['Coffee & Tea', 'Breakfast & Brunch']"
Chili’s Indian Cuisine,"New York, NY",['Indian']
Whynot Coffee,"New York, NY",['Coffee & Tea']
Black Cat LES,"New York, NY","['Coffee & Tea', 'Breakfast & Brunch']"
Kookaburra Coffee,"Rockville Centre, NY",['Coffee & Tea']
Taylor St Baristas,"New York, NY","['Cafes', 'Coffee & Tea']"
Nana’s Kitchen,"Bronx, NY",['Mediterranean']
Ravagh Persian Grill,"New York, NY","['Persian/Iranian', 'Middle Eastern']"
Mazeish Grill,"New York, NY","['Middle Eastern', 'Kebab']"
